song_id,entry_date,exit_date,days_on_playlist,peak_position,peak_date,time_to_peak
0 CONFIANZA - Rvfv,2025-06-02,2025-06-23,20,23,2025-06-07,5
"1 de Enero, Puntacana - Rels B",2025-04-28,2025-04-28,1,45,2025-04-28,0
1000COSAS - Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,245,3,2025-03-10,0
100xCiento - Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,11,13,2025-05-11,11
14 FEBREROS - Quevedo,2025-11-24,2025-11-27,4,9,2025-11-24,0
2AM - Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,31,2025-11-27,3
2xLL - JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,2025-07-23,11
3 CAÍDAS - SAIKO,2025-04-28,2025-05-05,8,13,2025-04-28,0
4 PREZ - Cruz Cafuné,2024-05-28,2024-05-29,2,35,2024-05-28,0
4TO 23 - Aitana,2025-07-07,2025-07-16,9,17,2025-07-07,0
50 PALOS - Feid,2024-12-02,2024-12-02,1,38,2024-12-02,0
57 - KAROL G & Feid & DFZM,2025-11-10,2025-11-27,18,8,2025-11-10,0
58 - JHAYCO,2025-09-08,2025-09-18,8,35,2025-09-08,0
69 - Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,2024-05-31,10
A 300 - JC Reyes & Pedro Calderon,2024-08-06,2025-01-05,148,15,2025-01-05,152
A 300 - JC Reyes & Pedro Calderon & Blacknife,2025-01-06,2025-04-24,107,11,2025-01-14,8
ACHO PR - Bad Bunny,2024-10-14,2024-10-20,7,15,2024-10-14,0
ADIVINO - Myke Towers,2025-08-24,2025-11-16,85,10,2025-08-24,0
ADIVINO - Myke Towers & Bad Bunny,2025-04-28,2025-08-23,116,1,2025-04-28,0
ALAKRAN - Feid,2024-12-02,2024-12-05,3,24,2024-12-02,0
AMANECIÓ - Quevedo,2025-11-24,2025-11-27,4,13,2025-11-24,0
AMARGURA - KAROL G,2024-05-26,2025-10-31,153,16,2025-07-26,426
APAGA EL CEL - FloyyMenor,2025-08-10,2025-09-04,14,22,2025-08-10,0
APAGA EL CEL - FloyyMenor & Lewis Somes,2025-05-26,2025-08-09,75,7,2025-06-12,17
APT. - ROSÉ & Bruno Mars,2025-10-23,2025-11-01,7,42,2025-10-30,7
AQYNE - Aitana,2024-09-27,2024-09-29,3,40,2024-09-28,1
ASI ES LA VIDA - Enrique Iglesias & Maria Becerra,2024-11-22,2025-03-23,67,38,2025-01-31,70
ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN) - Don Toliver,2025-06-21,2025-06-21,1,46,2025-06-21,0
AUNQUE LLEGUE OTRO (feat. Jay Wheeler) - Myke Towers,2025-08-24,2025-08-24,1,23,2025-08-24,0
